ODINO,MAKETXT,MODELTXT,YEARTXT,LDATE,COMPDESC,CDESCR,CRASH,FIRE,INJURED,DEATHS
11701567,HYUNDAI,ELANTRA,2024,20251125,FORWARD COLLISION AVOIDANCE: AUTOMATIC EMERGENCY BRAKING,"When I am using cruise control, my car will just randomly slam on its breaks. I have taken my car into the dealer multiple times, and they have written it off everytime. They have said itâs âdirect sunlightâ yet I can prove itâs not happening in the sunlight. It happened again today when it was cloudy. Itâs also happened before the sun came up in the morning. I have even filed a case with Hyundai directly, and they said if they canât get it to mimic it, then they canât do anything about it. But itâs so random, sometimes it happens 50 miles from home, other times itâs 300 miles from home. Always willing to let anyone inspect my vehicle to help solve this issue. Iâve been taking it to my dealer for a full year until I found out I needed to come put it here. Itâs random, it wonât happen in the same spot twice. But every time itâs done it, there is never a vehicle in front of me. My assumption is there is a defect with the adaptive cruise control. Iâve talked with Hyundai and they claim theyâve never heard of this happening to anyone, yet when I google it, there are MULTIPLE forums with people stating this exact thing is happening to them. SAFETY issue is it slams on the brakes so hard Iâll go from 80 to 65 before I can get the cruise control off. If someone is behind me when it does this, they will slam into me.when Iâm dropping 15 mph quickly, that vehicle behind me will hit me like Iâm a stopped object.  No warning lights before it happens. This has been happening since I bought my vehicle at 0moled to now where I have 34k miles ",N,N,0,0
11677788,KIA,SELTOS,2021,20250801,ELECTRICAL SYSTEM:INSTRUMENT PANEL:SPEEDOMETER/ODOMETER,"Odometer Fraud. The contact stated that the used car dealer had provided a 2021 Kia Seltos loaner vehicle to the contact while the contact's vehicle was being serviced. The contact stated that the loaner vehicle was returned to the used car dealer for service with an odometer reading of 111,000 miles; however, after the loaner vehicle was returned to the contact, the odometer reading was 69,014. The VIN was not available.",N,N,0,0
11635502,HYUNDAI,SONATA,2011,20250112,UNKNOWN OR OTHER,While Driving sometimes car comes to a slow paste like it wants to stall I have to take my foot off gas paddle and put my foot back on again for car to accelerate and speed up again I am also noticing this when I turn my headlights on while car is driving. Recently had car engine light come on and car had to be towed to a mechanic. Car was fix where light was gone but I am still having the problem with the car wanting to stall while driving.Took it to dealer who said they saw nothing wrong because no check light was on but the problem for me still is there as of this morning 1/12/2024,N,N,0,0
11538359,HYUNDAI,KONA,2022,20230814,FORWARD COLLISION AVOIDANCE: AUTOMATIC EMERGENCY BRAKING," I was driving up an incline when I overheated, causing smoke to come out of the transmission case. The vehicle suddenly stopped in the middle of the road, which could have caused an accident or fire. Regarding the transmission, I opened the hood to let the vehicle cool down for an hour.",N,N,0,0
11689901,HYUNDAI,PALISADE,2020,20250926,UNKNOWN OR OTHER,"The air compressor on my 2020 Hyundai Palisade with 55,321 miles has completely malfunctioned. The issue was diagnosed by Five Star Hyundai Dealership in Macon, Georgia on 9/26/25  and is currently available for inspection. The repair will cost $1,781. A failed A/C compressor in a 5-year-old vehicle could put my safety or othersâ safety at risk due to reduced visibility from poor defrosting, driver impairment from extreme heat, and secondary damage affecting critical systems like steering or electrical power. There were no warning lamps or messages prior to air compressor failure. However, Hyundai has issued a technical service bulletin (TSB) for certain 2020â2022 Palisade vehicles regarding the AC compressor. Bulletin 24-HA-003H: This TSB addresses reduced AC performance due to an ""out of specification"" AC compressor pulley and hub assembly.  INFORMATION REDACTED PURSUANT TO THE FREEDOM OF INFORMATION ACT (FOIA), 5 U.S.C. 552(B)(6)",N,N,0,0
11506590,HYUNDAI,KONA,2021,20230210,VEHICLE SPEED CONTROL,Vehicle will not go out of 3rd gear when on the interstate. The vehicle will go pass the redline and hit the fuel cut off and will not accelerate. Have to slow the car down and attempt to speed up again. Vehicle has almost been in accident multiple times due to almost being rear ended because can not get the vehicle up to speed.  ,N,N,0,0
11744480,HYUNDAI,SONATA HYBRID,2012,20260616,ELECTRICAL SYSTEM,"2012 Hyundai Sonata Hybrid well maintained by original owner, under 130,000 miles. May of 2025 AC stopped working intermittently (Hyundai dealer replaced AC hose). Aug 2025 AC stopped working AGAIN (same dealer could NOT identify problem). Car has consistent Hybrid System Warning! Safely Stop and Do not Drive messages lights and sirens when braking. Code PA186 comes up (low state of charge code for hybrid battery). December 2025 brought car back to SAME Hyundai dealer who NOW says car suddenly needs a 10k transmission (BUT still no idea what PA186 code is related to). Got transmission drained at different shop and NO NEW TRANSMISSION NEEDED! Every repair shop OUTSIDE OF HYUNDAI who has scanned for codes gets the PA186 error and say it is related to HYBRID BATTERY LOW STATE OF CHARGE (I am the original owner THUS lifetime hybrid battery warranty).  June 2026 different Hyundai dealer for repair of AC and PA186 code. NEW Hyundai dealer says AC issue is NOT related to the PA186 code. They still dont know what PA186 code is but want to charge me $5100 for engine wiring harness electrical short. SIDE NOTE!! Engine wiring harness electrical short is known issue for ABS module recall 251 for this car. Hyundai has denied the engine wiring harness electrical short repair as part of ABS recall 251 warranty and STILL cant tell me why Hybrid System Warning Lights and  PA186 code is come on. Is electrical issue really harness or HYBRID battery?? Car is currently at Hyundai dealer. ",N,N,0,0
11595971,HYUNDAI,SONATA,2020,20240623,UNKNOWN OR OTHER,Driving 55mph on highway car slows down and make a pop nose and back seat comes up and I start to smell gas ,N,N,0,0
11571897,KIA,OPTIMA,2017,20240214,ELECTRICAL SYSTEM,Got a bsd and check hybrid system while driving. ,N,N,0,0
11620548,HYUNDAI,ELANTRA N,2023,20241018,FORWARD COLLISION AVOIDANCE: AUTOMATIC EMERGENCY BRAKING,"Hyundai dealership âfixedâ the recall on my car a few weeks ago. This morning my car stalled out on the highway twice due to fuel pump issues, one of those resulting in my car hitting a guardrail. Every warning light went on in the car and a service message to make an appointment at the dealership popped up. I do not believe this vehicle is safe to keep using ",Y,N,0,0
11612164,HYUNDAI,TUCSON HYBRID,2024,20240902,VEHICLE SPEED CONTROL,"while driving N on hwy 75 in Dallas, I was traveling at posted speed- 70- in the 2nd of 4 lanes  when I was passed on either side by cars 10-15 mph faster than me. they passed almost exactly at the same time. This confused the cars auto breaking feature. The lane ahead was clear for over 100 yrds. My car braked hard and beeped a warning. There was no reason for the car to do this. This is the 3rd time the car has braked on the hwy when it was not necessary. Previously, I assumed Road trip bugs on the censor caused the issue, That could not have been the cause this time.     This is also a concern because the spyware in the car is sold to insurance Companies Apparently, as bad driving behavior which may affect my rates.   ",N,N,0,0
11688002,HYUNDAI,ELANTRA,2019,20250917,ELECTRICAL SYSTEM,"My high beam lights have malfunctioned and no longer work. The light on the dash states that my headlights are on but they just flick on for one second and discontinue to work. I live in a rural area and can not see at all when leaving home in the early am hours or when returning home in the evening. I've had to stop on the side of the road at certain times, because I have no visibility.  My car is approaching 6 years old with less than 70,000 miles and this is ridiculous. The dealership is charging over 2,000 dollars to fix this issue and I think this is highly unacceptable for a car of this age, especially when I bought the car brand new. I bought a brand new car to avoid issues such as this, but I have seemed to pay the price but not receive the  safety that I have paid for. There are so many complaints online for this exact issue. I would highly appreciate if safety is held as a priority for this issue and you all place this as a recall ASAP. ",N,N,0,0
11569836,KIA,NIRO EV,2023,20240204,UNKNOWN OR OTHER,"I received this recall notice that I thin is a scam as it is not listed on your site.  U.S. Department of Transportation (DOT) National Highway Traffic Safety Administration (NHTSA) <NHTSA-Recall-Alerts@service.govdelivery.com> reply-to: NHTSA-Recall-Alerts@service.govdelivery.com Your vehicle MAY be involved in a safety recall and MAY create a safety risk for you or your passengers. If left unrepaired, a potential safety defect could lead to injury or even death. Safety defects must be repaired by a dealer at no cost to you. Why am I getting this email? You are receiving this message because you requested to be notified by the National Highway Traffic Safety Administration (NHTSA) if there is a safety recall that may affect your vehicle. The following may apply to one or more of your vehicles if your vehicle is listed below. Click on the NHTSA Recall ID Number below to read more about the safety issue and the reason for the recall. To find out if your specific passenger vehicle is included in the recall, use our VIN Look-up Tool. NHTSA Recall ID Number : 24V057 Manufacturer : Kia America, Inc. Subject : Loss of Drive Power from Faulty Driveshaft Make Model Model Years KIA EV6 2023 KIA NIRO EV 2023-2024 What is a recall? When a manufacturer or the National Highway Traffic Safety Administration (NHTSA) determines that a vehicle creates an unreasonable risk to safety or fails to meet minimum safety standards, the manufacturer is required to fix that vehicle at no cost to the owner. That can be done by repairing it, replacing it, offering a refund (for equipment) or, in rare cases, repurchasing the car. What should I do if my vehicle is included in this recall? If your vehicle is included in this recall, it is very important that you get it fixed as soon as possible given the potential danger to you and your passengers if it is not addressed. You should receive a separate letter in the mail from the vehicle manufacturer, notifying you of the recall and explaining when ",N,N,0,0
11527874,HYUNDAI,IONIQ 5,2022,20230620,ELECTRICAL SYSTEM,"The vehicle completely lost power and there was 207 miles left to the charge. The message displayed on the driver's screen read ""12V battery voltage low. Stop safely"" I had no other choice than to stop since the car suddenly had zero power.  The car was towed to Hyundai dealership on 2/15/23 and I have yet to have the vehicle repaired. Hyundai keeps informing me that the part is on order and delayed. I have been waiting a long time for a defective vehicle.",N,N,0,0
11533311,HYUNDAI,ELANTRA,2015,20230719,ELECTRICAL SYSTEM,"The contact owns a 2015 Hyundai Elantra. The contact stated that while driving at various speeds and making right or left turns, the vehicle inadvertently shut off. After restarting the vehicle, the vehicle operated as designed. The contact stated that failure also occurred while driving straight. The cause of the failure was not yet determined. The local dealer and manufacturer were notified of the failure, but no assistance was provided. The failure mileage was 54,000.",N,N,0,0
11654685,HYUNDAI,IONIQ 5,2023,20250415,UNKNOWN OR OTHER,"- The ICCU assembly failed while I was driving on the highway.  - The ICCU failed even after I had the car taken in due to a recall on the ICCU unit.  In other words, the repair that they suggested I do to the ICCU DID NOT WORK, which means I was driving a dangerous vehicle.  - When the ICCU failed, the car slowed down to 25 miles an hours and then a crawl while I was driving on the highway with my family.  I was lucky to not get into an accident.    - I have taken the car into the dealer and they have told me it will take up to two months to get the ICCU fully replaced because the unit in my car failed even though I had it repaired during the recall.  - I have contacted Hyndai requesting they buy back my car because it is unsafe to drive.  They have not responded.   - YOU NEED TO GET THIS SORTED OUT ASAP. THE RECALL REPAIR ON THE ICCU DID NOT WORK AND THERE ARE OTHER CARS THAT ARE AT RISK OF FAILING. ",N,N,0,0
11690103,HYUNDAI,TUCSON,2022,20250927,ELECTRICAL SYSTEM,"Both horns needed to be replaced three times due to both stopped working and I listed the dates below. First time replacement: 4-6-24, Second time replacement: 10-9-24, Third time replacement: 1-16-25.  Now on 9-26-25 both horns stopped worknig again, I checked the horn fuse and that is good. I now need to call the dealer to have both horns replaced for the fourth time. I also contacted Hyundai's national customer service to log a complaint as well.  To me this is a safty issue since the horn is used to possible prevent an accident.   I check the horns when I drive the car since they go bad so often and I have under 28,000 miles on the vehicle.",N,N,0,0
11642950,KIA,SELTOS,2025,20250215,ELECTRICAL SYSTEM,"Car delivered [XXX] since then we have had 3 incidents of the dash control lights  going out along with the head lights going dim making  it very dangerous  to drive in the dark. Car had  about 1200 miles on it when it started and it had 1823 miles on it when they had a appointment for me to get the car in. We are going on a 3 week trip south at the end of march and based on my experience with  the Saltos, the dash lights go out and the head lights either go out or go very dim.  How do I know, I had a 2023 Seltos that had the same problem, answer from Ganley Kia,  could not duplicate,  another Kia I owned when I lived in Georgia, Dash llights and head lights went out in the mountains in the dark. Dealer replaced this car  INFORMATION REDACTED PURSUANT TO THE FREEDOM OF INFORMATION ACT (FOIA), 5 U.S.C. 552(B)(6)     ",N,N,0,0
11610088,HYUNDAI,ELANTRA,2020,20240821,ELECTRICAL SYSTEM,"A fire started in the passenger headlight assembly. The car had only been running for about 7 minutes directly prior to the fire being noticed. At the time of the fire it was parked & turned off. No injuries. It burned thru/melted part of the bumper & damaged something with the windshield washer fluid. Several people were at risk due to there being a fire! The car was parked at a gas station when the fire broke out. I don't think they have done a thorough investigation yet. It is current at Hyundai of Metairie in Metairie LA. According to the service technician my car is not the only one they have there that had the same thing happen. No warning signs, sounds, or anything else.",N,Y,0,0
11552356,HYUNDAI,SANTA FE SPORT,2018,20231028,UNKNOWN OR OTHER,I had no warning lights or messages and then the engine threw a rod and my car just died on the side of the road. It had apparently been burning oil. I get it back after 2 months and it needs a battery. Now the check engine light is on and it has affected the catalytic converter. ,N,N,0,0
11501418,HYUNDAI,KONA,2020,20230112,FORWARD COLLISION AVOIDANCE: WARNINGS,"I have a 2020 Kona SE AWD and have a problem with a Check Forward Collision Sensor error that happens infrequently. When it happens, you get a ding then on the dash in a large graphic ""check forward collision sensor"" then BANG the brakes are applied for a split second and the car violently drops into a lower gear and revs until you turn the car off and ""reset"" the system.  This has happened 4 times in the last 2 thousand miles. Been to the dealer twice and they cannot recreate the problem, so they can not fix anything. When this happens, its feels like a collision. It is scary and magnified at highway speed. It has happened at highway speed and low speed, both day and night. ",N,N,0,0
11544794,KIA,SOUL,2022,20230915,FORWARD COLLISION AVOIDANCE: AUTOMATIC EMERGENCY BRAKING,"When applying brakes over bumps the car sounds as if the brakes are locking up. When putting are in reverse and it uses the Automatic Emergency Braking aggressively too early. I have already paid to replace the window motors due to all windows not working when using the button on drivers side buttons, since replacing those motors the vehicle STILL continues to have electrical malfunctions when rolling windows down they won't roll up.",N,N,0,0
11476842,KIA,SORENTO,2015,20220801,VEHICLE SPEED CONTROL,The vehicle has stalled 3 separate times in the rain. ,N,N,0,0
11720871,HYUNDAI,VELOSTER,2013,20260227,ELECTRICAL SYSTEM,"I am writing regarding a serious safety issue with my 2013 Hyundai Veloster, purchased new. Over the life of the vehicle, I have replaced the manual AC/heat control head three times due to repeated failure.  During the most recent installation, I left the trim panel off to monitor the wiring harness and found it becomes extremely hot while operating. A local repair technician examined it and immediately advised me not to use the heating system due to potential fire risk.  Research specific to my vehicle shows documented issues including blower control overheating, burning smell/smoke, burned internal contacts, wiring harness heat damage, and repeat control failure. These match exactly what is occurring with my car.  I previously spoke with my dealershipâs parts department and was told there may be known concerns involving the wiring harness and blower resistor. I also contacted Hyundai Motor America Consumer Affairs but did not receive assistance.  After inspection, the dealership informed me the wiring harness and resistor must be replaced at a cost of approximately $2,450. Given the repeated failures and overheating electrical components, I do not believe I should be responsible for this expense, especially considering the potential safety hazard. The vehicle has been carefully maintained, stored properly, and rarely driven in winter. I had planned to use it for travel after retirement but now feel unsafe operating it.  I respectfully request a formal safety review and goodwill repair assistance, as this appears to be a defect rather than normal wear.  I am also filing a complaint with the National Highway Traffic Safety Administration due to the documented fire risk.  I appreciate your prompt attention to this matter. I am respectfully requesting:  A formal safety review of this issue.  Goodwill repair assistance or full coverage of the repair costs.  Clarification as to whether this issue has been evaluated for recall consideration.  [XXX] , [XXX]   INFORMATION REDACTED PURSUANT TO THE FREEDOM OF INFORMATION ",N,N,0,0
11710115,KIA,FORTE,2016,20260110,VEHICLE SPEED CONTROL,"I am filing a formal complaint regarding serious safety and mechanical problems with my vehicle. The brakes do not function properly and I have to add brake fluid every few days, which indicates a possible leak or brake system failure. This creates an extremely dangerous driving condition. The vehicle also has electrical problems, including malfunctioning lights. The engine has lost power, making it unsafe to drive, especially in traffic or on highways. In addition, the airbag warning light is on, which means the airbag system may not deploy in a crash, putting me at risk of serious injury or death. These problems have made the vehicle unreliable and unsafe to operate. I am requesting that these issues be inspected and repaired immediately at no cost to me, or that the vehicle be replaced or refunded under warranty or consumer protection laws. I am concerned for my safety and the safety of others, and I expect this matter to be handled urgently.",N,N,0,0
11677493,HYUNDAI,SONATA,2018,20250731,UNKNOWN OR OTHER,"My starter failed after 35,683 miles leaving me stranded in a parking lot at night. The life expectancy for a starter is between 100,000and 150,000 miles. Hyundai replaced the part at a cost of $1,139 which is way above what it normally costs to replace a starter. The starter is at the dealership and is not available for inspection. Being stranded in a parking lot made me very uncomfortable and what if the starter had failed in a bad section of town. The problem was confirmed by a Hyundai dealership who replaced the part after I had my vehicle towed to their service department. The only ones who inspected the vehicle was a mechanic at the dealership. There wer no warning lamps or messages, but I did notice the car did not start on the first try before the starter failed. 07/29/2025",N,N,0,0
11504393,KIA,SORENTO,2020,20230130,ELECTRICAL SYSTEM:12V/24V/48V BATTERY,"The contact owns a 2020 Kia Sorento. The contact received notification of NHTSA Campaign Number: 22V703000 (Trailer Hitches) however, the part to do the recall repair was not yet available. The contact stated that the manufacturer had exceeded a reasonable amount of time for the recall repair. The contact stated that the battery drained quickly after not driving the vehicle for several days. The dealer was made aware of the failure but confirmed that parts were not yet available. The vehicle was not repaired. The manufacturer was made aware of the failure. The failure mileage was approximately 50,000. Parts distribution disconnect.",N,N,0,0
11688858,HYUNDAI,VELOSTER N,2022,20250922,ELECTRICAL SYSTEM,"This problem has happened sporadically since the first instance described below. I was driving in the left lane at 65mph on the highway during a bend in the road. The steering when extremely stiff, which is extremely alarming on the highway. The car chimed and produced the messages, ""check power steering"" and ""check lane departure warning system"". From that point until I was able to stop somewhere safely, the vehicle had no power steering. Turning the car off and on is a short term remedy about half of the time, and the problem returns either immediately, or days later. ",N,N,0,0
11741640,HYUNDAI,IONIQ 5,2025,20260602,ELECTRICAL SYSTEM,"I pulled my car out of the garage and proceeded to drive up the street. I suddenly heard a weird sound and an emergency warning appeared on my dashboard stating to check vehicle electrical system. I immediately stopped the car and returned it to the garage. Upon turning the car on a second time to check the message a second message appeared saying âstop vehicle and check power supplyâ. I called Hyundai for a tow truck to have the vehicle towed to the dealer. When I turned on the car to back it out of the garage it got halfway out and the entire system shut down making everything inoperable including flashing emergency lights, windows etc. there was very little time between the warning light going on and the car becoming inoperable.   The dealer diagnosed a failure of the  ICCU system which has been reported for several years. A quick Google search reveals that many Ionic owners have experienced this failure.  I was incredibly lucky that this occurred within a block of my house. The previous night I was driving home on the LA freeways. Had this failure occurred at night on the freeway it could have been life threatening as there is very little time to get to safety and the hazard lights  and all electronics become useless.  The dealer said that they will be replacing the ICCU system with a better one. If that is the case then why wasnât this car recalled and the ICCU replaced?   ",N,N,0,0
11560762,KIA,OPTIMA,2012,20231218,ELECTRICAL SYSTEM,Still no remedy for fve safety recall and my car continues to smoke leaving it unable to be driven. ,N,N,0,0
11673997,KIA,CARNIVAL HYBRID,2025,20250716,UNKNOWN OR OTHER,"Sometimes when I start the engine the sliding doors does a quick open and closes. Told the dealership about it and they couldnât fix the problem. Itâs annoying but I Didnât really have an issue until my [XXX]  old got hit on the head by the sliding door.  INFORMATION REDACTED PURSUANT TO THE FREEDOM OF INFORMATION ACT (FOIA), 5 U.S.C. 552(B)(6)",N,N,1,0
11597684,KIA,NIRO,2023,20240629,FORWARD COLLISION AVOIDANCE: AUTOMATIC EMERGENCY BRAKING,"Last year, I purchased a new 2023 Kia Niro Hybrid and had a 24-month lease contract on it. After 9 months (5,700 miles), my car started having problems (Forward Collision Warning, random loss of power steering).   My car had to be towed twice to a KIA dealership, where I was told nothing was wrong with my car. They finally agreed to run a scan on the electric syste, where they found a few communication issues. After doing a system update, KIA told me the problems were fixed, however, the car kept having the same problems plus a new one (random Automatic Emergency Braking).  At this point, the car was too unreliable to drive so I returned it to my KIA dealership. Although the car clearly had problems that Kia couldnât fix, I had to pay to get out of my lease and ended up buying another car, not a KIA.  I am reporting the issues with the 2023 KIA Niro Hybrid to make sure people are aware of the issues on this particular car in case it is put on the pre owned market. I believe weâve been very lucky not to get into an accident, my [XXX] drove it in the city and on the highway and I can't imagine what would have happened if the Automatic Emergency Braking would have gone off then.  INFORMATION REDACTED PURSUANT TO THE FREEDOM OF INFORMATION ACT (FOIA), 5 U.S.C. 552(B)(6)     ",N,N,0,0
11581526,HYUNDAI,IONIQ 5,2022,20240406,ELECTRICAL SYSTEM,"I was charging my car at home like I usually do and around 2am I received an alert on my Bluelink app that a charging alarm was detected.   I saw that the breaker for my charger had tripped which it had never done before.   I reset the breaker and tried to restart charging but was not successful.    I turned on the car and immediately got the battery and EV warning lights telling me to stop the vehicle.   I was charging my car at home like I usually do and around 2am I received an alert on my Bluelink app that a charging alarm was detected.   I saw that the breaker for my charger had tripped which it had never done before.   I reset the breaker and tried to restart charging but was not successful.    I turned on the car and immediately got the battery and EV warning lights telling me to stop the vehicle.   I had the vehicle towed to my local dealer and they determined it was the ICCU issue that has affected many Ioniq 5s.  I had the software update done that was part of campaign [XXX] but it obviously didnât work.    It took a week to get a new ICCU fuse in and they also updated the software again in accordance with recall [XXX].    I am leery about another software fix solving this problem for good.  INFORMATION REDACTED PURSUANT TO THE FREEDOM OF INFORMATION ACT (FOIA), 5 U.S.C. 552(B)(6)  ",N,N,0,0
11668898,KIA,SPORTAGE HYBRID,2025,20250624,VEHICLE SPEED CONTROL,"I have a 2025 KIASportage Hybrid that I loved due to all its safety features. Yesterday I was pulling into a parking space when my car lunged forward  two times making very loud sounds. I was near a brick pillar it it tore off the right front of my car. The bricks were damaged. When I came home I looked up Kia Sportage lunching problems. There are many to read. They talk about âsudden accelerationââ and that is exactly what happened. It just lunged forward. Thankfully a human was not on the sidewalk. It went up over the curb and on the sidewalk. Itâs called a jerking car in articles. Even if my car is fixable I wonât trust it. If this problem IS FIXABLE, why isnât it fixed before selling the car to consumers. Iâm quite distraught about this event. Warning must go out to consumers. I called a collision center this morning and they have seen this before. On the Cars Connect website, it tells of this event on 2020 Kia Sportage. It says  ââViolent, scared the heck out of me.â So, what is happening and why hasnât it been fixed?  I could have injured someone badly. [XXX]  [XXX]  Arlington, Texas INFORMATION REDACTED PURSUANT TO THE FREEDOM OF INFORMATION ACT (FOIA), 5 U.S.C. 552(B)(6)",Y,N,0,0
11542226,HYUNDAI,TUCSON,2016,20230902,UNKNOWN OR OTHER,"Both front windows have stopped working. From a Google search on possible fixes, this is a common issue with 2016 Hyundai Tucsons. Itâs also very expensive to fix and a great safety hazard. ",N,N,0,0
